pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_teff,st_lum,st_rad,st_mass,st_age
75 Cet c,75 Cet,13.9,289.85950718,0.593,0.023,,,2051.62,3.929,4809.0,1.7145,10.38,1.92,
8 UMi b,8 UMi,13.5,524.41687155,1.17,0.062,,,93.31,0.462,4847.0,1.72346,10.73,1.51,1.7
81 Cet b,81 Cet,13.1,1051.05854195,2.57,0.037,,,1005.57,2.104,4734.0,1.76027,11.21,1.23,
91 Aqr b,91 Aqr,13.1,1017.0,2.49,0.027,,,181.4,0.7,4665.0,1.69239,11.0,1.4,3.56
AB Aur b,AB Aur,12.5,2860.455663,8.05,0.4,,,,93.9,9770.0,1.77085,2.95887,2.4,0.003
AB Pic b,AB Pic,12.3,4290.5,12.7,,,,,260.0,5285.0,-0.22631,0.999394,0.9,0.03
AF Lep b,AF Lep,13.0,1147.36054927,2.87,0.015,1400.0,,8905.0,8.996,6140.0,0.29,1.25,1.218,0.024
AT2021ueyL b,AT2021ueyL,13.6,425.89006538,0.93,,,,4168.69,4.01,3680.0,,,0.49,
AU Mic b,AU Mic,3.95677019,20.12,1.32,0.00577,600.0,21.2,8.46308,0.0649,3678.0,-1.0381,0.744,0.51,0.0201
AU Mic c,AU Mic,2.52202066,9.6,1.22,0.00338,459.0,7.3,18.85969,0.1108,3678.0,-1.0381,0.744,0.51,0.0201
AU Mic d,AU Mic,1.02,1.053,5.45,0.00305,,,12.73596,,3678.0,-1.0381,0.744,0.51,0.0201
AU Mic e,AU Mic,4.87,21.1,1.0,,,,33.11,,3665.0,-0.99,0.82,0.6,0.0185
BD+03 2562 b,BD+03 2562,12.7,2034.112,5.46,0.2,,,481.9,1.3,4095.0,2.7,32.35,1.14,5.2
BD+05 4868 A b,BD+05 4868 A,,6.2,,,1820.0,,1.271869,0.0208,4596.0,-0.7167,0.69,0.7,11.1
BD+14 4559 b,BD+14 4559,13.8,330.5432,0.691,0.29,,,268.94,0.78,4864.0,-0.32,0.86,0.49,
BD+15 2375 b,BD+15 2375,13.8,337.21763,0.705,0.001,,,153.22,0.576,4649.0,1.57,8.95,1.08,7.41
BD+15 2940 b,BD+15 2940,13.7,352.78,0.754,0.26,,,137.48,0.539,4796.0,2.01,14.7,1.1,7.1
BD+20 2457 b,BD+20 2457,12.1,6807.63,21.1,0.15,,,379.63,1.45,4137.0,3.17,49.0,2.8,
BD+20 2457 c,BD+20 2457,12.4,3963.17,11.4,0.18,,,621.99,2.01,4137.0,3.17,49.0,2.8,
BD+20 274 b,BD+20 274,13.0,1334.886,3.34,0.21,,,578.2,1.3,4296.0,1.96,17.3,0.8,
BD+20 594 b,BD+20 594,2.57807,22.2481,7.89,0.0,546.0,,41.6855,0.241,5766.0,-0.05552,1.08,1.67,3.34
BD+37 3172 b,BD+37 3172,12.4,3368.9811142,9.71,0.59,,,1887.76,4.65,4500.0,2.84,50.24,3.75,
BD+42 2315 b,BD+42 2315,14.2,174.80562385,0.335,0.73,,,123.05,0.54,4500.0,1.99,17.85,1.38,
BD+45 564 b,BD+45 564,13.6,432.24663352,0.944,0.12,,,307.88,0.83,5004.0,-0.39918,0.813064,0.81,
BD+48 738 b,BD+48 738,13.9,289.2253,0.592,0.2,,,392.6,1.0,4414.0,1.69,11.0,0.74,
BD+48 740 b,BD+48 740,13.5,540.311,1.21,0.76,,,733.0,1.7,4534.0,1.64,10.33,1.09,
BD+49 828 b,BD+49 828,13.5,508.5,1.14,0.35,,,2590.0,4.2,4943.0,1.47,7.6,1.52,2.34
BD+55 362 b,BD+55 362,14.0,228.83645304,0.458,0.27,,,265.59,0.78,5012.0,-0.31295,0.896193,0.909,
BD+60 1417 b,BD+60 1417,14.68376472,4767.426105,8.27,,1303.0,,,1662.0,4993.0,0.35595,0.797,1.0,0.1
BD+63 1405 b,BD+63 1405,12.4,3305.4154328,9.53,0.88,,,1198.48,2.06,5000.0,-0.41295,0.804724,0.816,
BD-06 1339 b,BD-06 1339,,1523.03372634,,0.0,,,3.8728,0.0428,4324.0,-1.022,0.686355,0.7,4.4
BD-06 1339 c,BD-06 1339,8.38,53.0,0.495,0.31,,,125.94,0.435,4324.0,-1.022,0.686355,0.7,4.4
BD-08 2823 b,BD-08 2823,,2948.49413174,,0.15,,,5.6,0.06,4816.0,-0.62597,0.71,0.5,4.5
BD-08 2823 c,BD-08 2823,12.5,104.0,0.293,0.19,,,237.6,0.68,4746.0,-0.62597,0.71,0.74,4.5
BD-10 3166 b,BD-10 3166,14.1,187.5197,0.368,0.02,,,3.48777,0.04,5393.0,-0.1912,0.91,1.47,0.25
BD-11 4672 b,BD-11 4672,14.1,206.5895,0.405,0.05,,,1634.0,2.36,4550.0,-0.8041,0.639,0.651,7.4
BD-11 4672 c,BD-11 4672,4.04,15.37,1.28,0.4,,,74.2,0.3,4550.0,-0.8041,0.639,0.651,7.4
BD-13 2130 b,BD-13 2130,12.5,3108.3774,8.75,0.21,,,714.29999,1.66,4545.0,2.04268,19.17,2.12,0.74
BD-14 3065 b,BD-14 3065 A,21.59,3932.0,2.15,0.066,2001.0,646.761,4.2889731,0.0656,6935.0,1.06,2.35,1.41,2.24
BD-17 63 b,BD-17 63,12.8,1639.99458012,4.3,0.5439,,,655.57,1.34,4714.0,-0.678,0.74,0.741,4.3
BD-210397 b,BD-210397,14.0,214.0,0.429,0.1,,0.02,1891.0,2.63,4051.0,-0.86967,0.747,0.679,6.2
BD-210397 c,BD-210397,12.9,1525.5763536,3.91,0.43,,0.0039,6240.0,5.9,4051.0,-0.86967,0.747,0.69,4.0
BEBOP-3 b,BEBOP-3,14.2,177.34825111,0.34,0.247,,,547.0,1.444,6033.0,0.38321,1.414,1.083,
BEBOP-4 AB b,BEBOP-4 A,,8358.8871041,,0.428,,,1823.5,3.634,5701.43,0.85933,2.75645,1.507,
Barnard b,Barnard's star,0.72,0.299,4.4,0.03,438.0,6.76,3.1542,0.0229,3195.0,-2.44977,0.185,0.162,
Barnard c,Barnard's star,0.743,0.335,4.49,0.08,400.0,,4.1244,0.0274,3195.0,-2.44977,0.185,0.162,
Barnard d,Barnard's star,0.694,0.263,4.32,0.04,483.0,,2.3402,0.0188,3195.0,-2.44977,0.185,0.162,
Barnard e,Barnard's star,0.637,0.193,4.1,0.04,340.0,,6.7392,0.0381,3195.0,-2.44977,0.185,0.162,
CD Cet b,CD Cet,1.82,3.95,3.6,,464.0,8.6,2.2907,0.0185,3130.0,-2.53254,0.175,0.161,3.0
CD-35 2722 b,CD-35 2722,17.37392009,9375.9380065,9.82,,1800.0,,,67.0,3689.0,-1.26481,0.558549,0.4,0.1
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,12.4,3337.1,9.62,,370.0,,10037.5,2.6,580.5,,,0.021,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,20.8487041,2479.0615746,1.5,,1800.0,,8040000.0,200.0,2320.0,-2.85,0.245,0.0147,0.003
CHXR 73 b,CHXR 73,12.3,3994.486,11.8,,,,,210.0,3099.0,,,0.35,0.002
CI Tau c,CI Tau,13.0,1144.1822652,2.86,0.58,,,25.2,0.17,3807.0,-0.25458,1.880857,0.9,0.0025
COCONUTS-2 b,COCONUTS-2 A,12.44196858,2542.627256,7.25,,434.0,,402000000.0,7506.0,3406.0,-1.732,0.388,0.37,0.475
CT Cha b,CT Cha,24.66,5403.0,1.98,,2600.0,,,440.0,4403.0,-0.10177,1.679694,,0.002
CoRoT-1 b,CoRoT-1,16.7,327.35,0.38,0.0,1898.0,2852.63,1.5089557,0.02752,5950.0,0.29793,1.11,0.95,1.6
CoRoT-10 b,CoRoT-10,10.87,874.0,3.7,0.53,600.0,16.1089,13.2406,0.1055,5075.0,-0.72608,0.79,0.89,3.0
CoRoT-11 b,CoRoT-11,16.03,740.51,0.99,0.0,1657.0,1890.649,2.99433,0.0436,6440.0,0.37753,1.37,1.27,2.0
CoRoT-12 b,CoRoT-12,16.14,291.438,0.411,0.07,1442.0,661.1334,2.828042,0.04016,5675.0,0.07,1.116,1.078,6.3
CoRoT-13 b,CoRoT-13,9.92,415.704,2.34,0.0,1700.0,546.5339,4.03519,0.051,5945.0,0.07314,1.01,1.09,1.635
CoRoT-14 b,CoRoT-14,12.22,2415.4,7.3,0.0,1952.0,,1.51214,0.027,6035.0,0.11884,1.21,1.13,4.2
CoRoT-16 b,CoRoT-16,13.11,170.032,0.44,0.33,,,5.35227,0.0618,5650.0,-0.43496,1.19,1.098,6.73
CoRoT-17 b,CoRoT-17,11.43,772.29,2.82,0.0,1626.0,,3.7681,0.0461,5740.0,0.13421,1.59,1.04,10.7
CoRoT-18 b,CoRoT-18,14.68,1102.82,2.2,0.08,1550.0,823.7009,1.9000693,0.0295,5440.0,-0.17,1.0,0.95,0.6
CoRoT-19 b,CoRoT-19,14.46,352.78,0.71,0.047,2000.0,1103.809,3.89713,0.0518,6090.0,0.544,1.65,1.21,5.0
CoRoT-2 b,CoRoT-2,16.432,1102.82,1.47,0.0143,1521.0,932.9076,1.7429935,0.02798,5625.0,-0.13055,0.906,0.96,2.7
CoRoT-20 b,CoRoT-20,9.41556,1366.669,8.87,0.59,1024.0,180.8704,9.24285,0.09,5880.0,0.17,1.02,1.14,0.1
CoRoT-20 c,CoRoT-20,12.2,5403.11,16.4,0.6,,,1675.0,2.9,5880.0,0.17,1.02,1.14,0.1
CoRoT-21 b,CoRoT-21,14.5717,718.2958,1.36,0.0,,,2.72474,0.0417,6200.0,0.705,1.95,1.29,4.1
CoRoT-22 b,CoRoT-22,4.88,12.2,0.249,0.077,885.0,,9.75598,0.092,5939.0,0.01352,1.136,1.099,3.3
CoRoT-23 b,CoRoT-23,11.77,889.9,3.0,0.16,1660.0,,3.6313,0.048,5900.0,0.08678,1.61,1.14,7.2
CoRoT-24 b,CoRoT-24,3.7,5.7,0.9,0.0,1070.0,,5.1134,0.056,4950.0,-0.60148,0.86,0.91,11.0
CoRoT-24 c,CoRoT-24,5.0,28.0,1.3,0.0,850.0,,11.759,0.098,4950.0,-0.60148,0.86,0.91,11.0
CoRoT-25 b,CoRoT-25,12.11,85.81,0.15,0.0,1330.0,,4.86069,0.0578,6040.0,0.14101,1.19,1.09,4.5
CoRoT-26 b,CoRoT-26,14.12,165.26,0.28,0.0,1600.0,,4.20474,0.0526,5590.0,0.451,1.79,1.09,8.6
CoRoT-27 b,CoRoT-27,11.287,3302.11,12.6,0.065,1500.0,,3.57532,0.0476,5900.0,-0.16641,1.08,1.05,4.21
CoRoT-28 b,CoRoT-28,10.704595,153.82972,0.69,0.047,,,5.20851,0.0603,5150.0,0.38849,1.78,1.01,12.0
CoRoT-29 b,CoRoT-29,10.0881,270.1555,1.45,0.082,,,2.85057,0.0386,5260.0,-0.09414,0.9,0.97,4.5
CoRoT-3 b,CoRoT-3,11.32,6883.91,26.4,0.0,1695.0,,4.2568,0.05783,6740.0,0.39086,1.56,1.37,2.2
CoRoT-30 b,CoRoT-30,11.309881,921.707,3.45,0.007,,,9.06005,0.0844,5650.0,-0.19653,0.91,0.98,3.0
CoRoT-31 b,CoRoT-31,16.36514,266.9772,0.33,0.02,,,4.62941,0.0586,5700.0,0.39778,2.15,1.25,4.7
CoRoT-32 b,CoRoT-32,6.38913,47.6745,1.1,,938.0,132.26,6.71837,0.071,5970.0,-0.1549,0.79,1.08,
CoRoT-35 b,CoRoT-35,18.83108758,349.6112477,0.29,0.0,1747.0,,3.22748,0.0429,6390.0,0.36247,1.65,1.01,6.1
CoRoT-36 b,CoRoT-36,15.80466279,216.12331676,0.25,0.0,1567.0,,5.616531,0.066,6730.0,0.81257,1.52,1.32,2.1
CoRoT-4 b,CoRoT-4,13.34,228.83,0.525,0.0,1074.0,203.9517,9.20205,0.09,6190.0,0.18482,1.17,1.16,1.0
CoRoT-5 b,CoRoT-5,15.558,148.42,0.217,0.09,1438.0,786.2949,4.0378962,0.04947,6100.0,0.18,1.186,1.0,6.9
CoRoT-6 b,CoRoT-6,13.068,940.74,2.32,0.1,1017.0,,8.886593,0.0855,6090.0,0.02573,1.025,1.05,2.5
CoRoT-7 b,CoRoT-7,1.68135,4.07660518,9.355,0.0,1756.0,,0.85359163,0.017016,5275.0,-0.28938,0.83,0.82,1.8
CoRoT-7 c,CoRoT-7,2.83,8.4,2.04,0.0,,,3.698,0.046,5256.0,-0.28938,0.864273,0.899,1.8
CoRoT-7 d,CoRoT-7,4.31,17.142,1.18,,,,8.966,,5250.0,-0.28938,0.8389,0.915,1.8
CoRoT-8 b,CoRoT-8,6.39,69.92,1.6,0.0,870.0,,6.21229,0.063,5080.0,-0.4,0.77,0.88,3.0
CoRoT-9 b,CoRoT-9,11.948794,266.9772,0.86,0.133,420.0,,95.272656,0.4021,5625.0,-0.25426,0.96,0.96,6.0
DE CVn b,DE CVn,12.4,3823.27330161,11.0,0.0,,,4098.1,5.75,3579.0,-1.57398,0.424754,0.51,
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,11.9,9057.77,29.5,0.345,,,246.36,0.36,,,,0.075,1.0
DH Tau b,DH Tau,30.2643,3496.0,0.693,,2200.0,,,330.0,4371.0,-0.21153,0.27,0.33,0.001
DMPP-1 b,DMPP-1,5.29,24.27,0.901,0.083,877.0,,18.57,0.1462,6196.0,0.31955,1.26,1.21,2.01
DMPP-1 c,DMPP-1,3.06,9.6,1.84,0.057,1239.0,,6.584,0.0733,6196.0,0.31955,1.26,1.21,2.01
DMPP-1 d,DMPP-1,1.65,3.35,4.1,0.07,1632.0,,2.882,0.0422,6196.0,0.31955,1.26,1.21,2.01
DMPP-1 e,DMPP-1,1.86,4.13,3.53,0.07,1314.0,,5.516,0.0651,6196.0,0.31955,1.26,1.21,2.01
DMPP-2 b,DMPP-2,14.3,138.89171,0.261,0.078,1000.0,,5.2072,0.0664,6500.0,0.1038,1.78,1.44,2.0
DMPP-3 A b,DMPP-3 A,1.41,2.58,5.06,0.14,854.0,,6.6732,0.0662,5138.0,-0.29268,0.91,0.87,10.9
DMPP-4 b,DMPP-4,3.53,12.2,1.52,0.063,,,3.4982,0.04853,6400.0,0.45939,1.38,1.25,2.15
DP Leo b,DP Leo,12.7,1995.88832,5.35,0.39,,,10220.0,8.19,13500.0,-2.4,0.0115,0.69,
DS Tuc A b,DS Tuc A,5.7,413.179,,0.0,850.0,115.8276,8.138268,,5428.0,-0.13966,0.964,1.01,0.045
EPIC 201170410.02,EPIC 201170410,1.047,1.15,5.51,0.0,,,6.7987,0.0349,3648.0,-1.9,0.282,0.287,
EPIC 201238110 b,EPIC 201238110,1.87,4.16,3.5,,,,28.1656,,3587.0,-1.50834,0.374,0.41,
EPIC 201427007 b,EPIC 201427007,1.5,2.86,4.66,,,,0.72091,,5633.0,-0.04875,0.94,0.93,
EPIC 201497682 b,EPIC 201497682,0.692,0.26,4.31,,,,2.13174,,4991.0,-0.76627,0.554,0.78,
EPIC 201595106 b,EPIC 201595106,1.565,7.67,11.1,0.0,2038.0,2852.0,0.87724,0.0177,5679.0,-0.04915,0.98,0.958,6.0
EPIC 201615463 c,K2-166,1.22,1.98,5.99,,,,3.80464,,5960.0,0.45848,1.61,1.073,
EPIC 201754305 d,K2-16,1.03,1.08,5.43,,,,2.71578,,4761.0,-0.76082,0.544,0.67,
EPIC 201757695.02,EPIC 201757695,0.90819,0.688,5.05,0.0,,,2.0478,0.0296,4520.0,-0.36351,0.655,0.727,
EPIC 201833600 c,K2-50,1.0,0.972,5.34,,,,3.96151,,4326.0,-0.87356,0.634,0.611,
EPIC 201841433 b,EPIC 201841433,1.04,1.12,5.47,,,,4.1698,0.035,5053.0,-0.63455,0.628461,0.802,
EPIC 205950854 c,K2-168,1.31,2.27,5.55,,960.6,,8.050722,,5502.7,-0.17649,0.83,0.877,
EPIC 206024342 b,EPIC 206024342,1.7,3.53,3.95,,,,4.50756,,5724.0,-0.16992,0.823,0.928,
EPIC 206024342 c,EPIC 206024342,1.4,2.54,5.09,,,,0.911724,,5724.0,-0.16992,1.1,0.928,
EPIC 206024342 d,EPIC 206024342,2.6,7.27,2.27,,,,14.647531,,5724.0,-0.16992,1.1,0.928,
EPIC 206032309 b,EPIC 206032309,1.01,1.01,5.39,,,,2.87814,,3489.0,-1.73006,0.37344,0.221,
EPIC 206042996 b,EPIC 206042996,1.7,3.53,3.95,,,,5.2986,,4114.0,-0.97996,0.5,0.565,
EPIC 206042996 c,EPIC 206042996,1.2,1.87,5.95,,,,0.354884,,4114.0,-0.97996,0.5,0.565,
EPIC 206215704 b,EPIC 206215704,1.0,0.972,5.34,,,,2.255436,,3297.0,-2.08843,0.25,0.407,
EPIC 206317286 b,EPIC 206317286,0.96,0.84,5.22,,,,1.58252,,4752.0,-0.59336,0.669,0.711,
EPIC 206317286 c,EPIC 206317286,2.094,5.03,3.01,,,,17.515472,,4752.0,-0.59336,0.758,0.832,
EPIC 211822797 b,EPIC 211822797,1.92,4.35,3.38,0.06,431.0,3.5,21.1701963,0.1195,4057.0,-1.15304,0.58,0.62,0.79
EPIC 211945201 b,EPIC 211945201,5.76,11.0,0.33,0.0,817.0,101.0,19.49221,0.1493,6069.0,0.37334,1.39,1.17,3.99
EPIC 212297394 b,EPIC 212297394,1.48,2.79,4.73,,1149.0,,2.289363,,5171.0,-0.46654,0.8,0.83,
EPIC 212297394 c,EPIC 212297394,2.27,5.77,2.71,,866.0,,5.213965,,5171.0,-0.46654,0.8,0.83,
EPIC 212424622 b,EPIC 212424622,2.17,5.35,2.88,,,,18.0983,,5782.33,0.17917,1.2247,1.106,
EPIC 212499991 b,EPIC 212499991,1.6,3.19,4.28,,,,34.885,,4982.79,-0.4966,0.757541,0.912,
EPIC 212587672 b,EPIC 212587672,1.26,2.13,5.85,,756.0,,15.28078,,6004.0,0.03848,0.98,0.99,
EPIC 212587672 c,EPIC 212587672,2.32,5.99,2.64,,658.0,,23.228555,,6004.0,0.03848,0.98,0.99,
EPIC 212624936 b,EPIC 212624936,1.2,1.87,5.95,,,,0.578657,,5765.0,-0.12371,0.93,1.0,
EPIC 212624936 c,EPIC 212624936,2.3,5.9,2.66,,,,11.811437,,5765.0,-0.12371,0.93,1.0,
EPIC 212737443 b,EPIC 212737443,2.586,7.2,2.29,0.2,536.0,,13.603,0.098,4684.0,-0.75057,0.673,0.69,
EPIC 212737443 c,EPIC 212737443,2.69,7.7,2.17,0.2,316.0,,65.55,0.28,4684.0,-0.75057,0.673,0.69,
EPIC 220492298 b,EPIC 220492298,0.99,0.937,5.31,,,,0.762406,,5620.0,-0.0088,0.89,0.95,
EPIC 220554210 c,K2-282,1.6,3.19,4.28,,,,0.70531,,5499.0,-0.21463,1.0,0.94,
EPIC 220674823 b,EPIC 220674823,1.676,7.8,9.09,0.0,2299.0,4656.0,0.5713127,0.01314,5578.0,-0.11919,0.99,0.913,7.5
EPIC 220674823 c,EPIC 220674823,2.84,7.32,1.72,0.17,804.0,70.0,13.33989,0.1073,5578.0,-0.11919,0.99,0.913,7.5
EPIC 228836835 b,EPIC 228836835,1.1,1.37,5.66,,932.0,,0.728113,,3782.0,-1.61153,0.32,0.418179,
EPIC 229004835 b,EPIC 229004835,2.332,10.4,4.49,0.23,804.0,69.7,16.141132,0.1237,5868.0,0.02989,0.999,0.97,4.9
EPIC 246851721 b,EPIC 246851721,11.780659,953.49,3.1,,1401.0,642.0,6.180235,0.07229,6202.0,0.52634,1.586,1.317,3.02
EPIC 248847494 b,EPIC 248847494,12.44199,4131.79,,0.0,183.0,0.19,3650.0,4.5,4898.0,0.54805,2.7,0.9,
EPIC 249893012 b,EPIC 249893012,1.95,8.75,6.39,0.06,1616.0,1037.0,3.5951,0.047,5430.0,0.35568,1.71,1.05,9.0
EPIC 249893012 c,EPIC 249893012,3.67,14.67,1.62,0.07,990.0,160.0,15.624,0.13,5430.0,0.35568,1.71,1.05,9.0
EPIC 249893012 d,EPIC 249893012,3.94,10.18,0.91,0.15,752.0,53.0,35.747,0.22,5430.0,0.35568,1.71,1.05,9.0
FU Tau b,FU Tau,12.2,5085.28,15.4,,2375.0,,,800.0,2838.0,-0.69897,,0.05,0.001
G 192-15 b,G 192-15,1.02,1.03,5.33,0.0,453.6,7.06,2.27476,0.01723,2999.0,-2.67285,0.170718,0.132,
G 192-15 c,G 192-15,3.87,14.3,1.36,0.676,55.9,0.0016,1219.0,1.137,2999.0,-2.67285,0.170718,0.132,
G 196-3 b,G 196-3,12.0,8263.538582,26.3,,1670.0,,,350.0,3517.0,-1.42456,0.522432,0.519782,
G 261-6 b,G 261-6,1.1,1.37,5.66,0.0,322.3,1.8,5.4536,0.02971,2907.0,-2.82122,0.153162,0.118,
G 264-012 b,G 264-012,1.39,2.5,5.12,,587.0,20.5,2.30538,0.02279,3326.0,-1.97224,0.305,0.297,
G 264-012 c,G 264-012,1.76,3.75,3.78,,387.0,3.87,8.0518,0.0525,3326.0,-1.97224,0.305,0.297,
G 268-110 b,G 268-110,1.13,1.52,5.79,0.0,534.0,13.57,1.43263,0.01283,,-2.63971,0.177,0.137,
G 9-40 b,G 9-40,1.9,4.0,3.2,0.0,440.6,6.27,5.7459982,0.0418,3395.0,-1.96019,0.3026,0.2952,9.9
GJ 1002 b,GJ 1002,1.03,1.08,5.43,,230.9,0.67,10.3465,0.0457,3024.0,-2.85201,0.137,0.12,
GJ 1002 c,GJ 1002,1.1,1.36,5.61,,181.7,0.257,21.202,0.0738,3024.0,-2.85201,0.137,0.12,
